"Age_","Income","Experience","Married.Single","House_Ownership","Car_Ownership","CITY","STATE","CURRENT_JOB_YRS","CURRENT_HOUSE_YRS","Risk_Flag","Profession"
77,4758365,8,"married","rented","no","Bikaner","Rajasthan",8,11,0,"Software_Developer"
27,5270510,17,"single","rented","no","Karawal_Nagar","Delhi",4,11,0,"Software_Developer"
42,8915716,3,"single","rented","no","Aizawl","Mizoram",3,11,0,"Software_Developer"
27,1800877,10,"married","rented","yes","Narasaraopet","Andhra_Pradesh",5,13,0,"Software_Developer"
51,7600748,13,"single","rented","yes","Avadi","Tamil_Nadu",5,10,0,"Software_Developer"
44,66912,10,"married","rented","no","Jalandhar","Punjab",10,14,0,"Software_Developer"
30,9585622,15,"single","rented","no","Bidar","Karnataka",5,13,0,"Software_Developer"
71,1578598,11,"single","rented","no","Mau","Uttar_Pradesh",11,11,1,"Software_Developer"
19,5812529,2,"single","rented","yes","Tiruchirappalli[10]","Tamil_Nadu",2,11,0,"Software_Developer"
32,8458276,17,"single","rented","yes","Dharmavaram","Andhra_Pradesh",6,10,0,"Software_Developer"
39,7121677,16,"single","rented","no","Panvel","Maharashtra",7,10,0,"Software_Developer"
79,5812529,2,"single","rented","yes","Tiruchirappalli[10]","Tamil_Nadu",2,11,0,"Software_Developer"
51,4539410,5,"single","owned","no","Parbhani","Maharashtra",5,12,0,"Software_Developer"
53,4514928,20,"single","rented","yes","Bhubaneswar","Odisha",5,11,0,"Software_Developer"
50,6821441,13,"single","rented","no","Silchar","Assam",7,11,0,"Software_Developer"
48,3218946,0,"single","rented","no","Vijayanagaram","Andhra_Pradesh",0,11,1,"Software_Developer"
45,9103667,3,"married","owned","no","Howrah","West_Bengal",3,12,1,"Software_Developer"
46,6256451,2,"single","rented","yes","Bhubaneswar","Odisha",2,12,0,"Software_Developer"
20,5194869,15,"single","rented","no","Satara","Maharashtra",10,10,0,"Software_Developer"
52,3417564,18,"single","rented","no","Pimpri-Chinchwad","Maharashtra",10,14,0,"Software_Developer"
49,6284059,4,"single","norent_noown","no","Ulhasnagar","Maharashtra",4,11,0,"Software_Developer"
32,8064081,18,"single","rented","yes","Bhiwani","Haryana",9,14,0,"Software_Developer"
46,1053988,6,"single","owned","no","Nashik","Maharashtra",6,13,0,"Software_Developer"
43,1692995,8,"single","rented","no","Aurangabad[39]","Bihar",8,14,1,"Software_Developer"
46,9585622,15,"single","rented","no","Bidar","Karnataka",5,13,0,"Software_Developer"
22,9364159,6,"married","rented","no","Bhavnagar","Gujarat",4,11,0,"Software_Developer"
